location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20100825T0000,22.840528,12.610529,18.140945
20100826T0000,28.98053,15.740529,22.845945
20100827T0000,24.170528,18.64053,20.49053
20100828T0000,17.82053,11.860529,15.045945
20100829T0000,18.510529,8.940529,14.209279
20100830T0000,13.610529,9.440529,12.0017805
20100831T0000,17.160528,10.210529,13.374279
20100901T0000,19.96053,7.1905284,13.499695
20100902T0000,20.590528,7.9305286,14.708861
20100903T0000,21.87053,10.560529,16.507196
20100904T0000,21.170528,13.380529,17.132612
20100905T0000,21.330528,10.880529,15.518029
20100906T0000,20.87053,10.420529,15.768031
20100907T0000,19.40053,13.210529,16.163446
20100908T0000,18.850529,14.380529,15.849278
20100909T0000,18.180529,9.330529,14.342612
20100910T0000,19.89053,11.190529,15.612194
20100911T0000,22.88053,11.580529,17.37303
20100912T0000,23.920528,12.830529,18.020947
20100913T0000,18.000528,12.480529,14.98511
20100914T0000,21.15053,10.920529,15.781779
20100915T0000,18.96053,9.990529,15.05428
20100916T0000,17.98053,12.310529,14.742612
20100917T0000,17.90053,10.200529,14.492612
20100918T0000,16.410528,8.700529,12.068028
20100919T0000,16.72053,6.8305287,12.098865
20100920T0000,20.260529,9.350529,15.046777
20100921T0000,22.12053,12.140529,17.19886
20100922T0000,22.40053,12.240529,17.580114
20100923T0000,23.29053,13.450529,18.474281
20100924T0000,18.04053,11.520529,14.506363
20100925T0000,13.880529,9.320529,11.642194
20100926T0000,12.360529,6.6105285,9.421362
20100927T0000,13.480529,5.4205284,9.400529
20100928T0000,15.110529,6.9805284,11.109695
20100929T0000,16.440529,8.240529,12.2517805
20100930T0000,14.620529,10.100529,12.2917795
20101001T0000,16.690529,9.320529,13.16261
20101002T0000,19.87053,9.750529,14.20428
20101003T0000,22.760529,9.500529,16.239279
20101004T0000,23.920528,11.110529,16.682611
20101005T0000,19.04053,13.740529,15.99303
20101006T0000,21.680529,9.0505295,15.775528
20101007T0000,22.360529,12.200529,17.408447
20101008T0000,21.600529,10.910529,16.709282
20101009T0000,20.690529,8.900529,15.731361
20101010T0000,17.04053,7.6405287,12.779278
20101011T0000,13.930529,4.5305285,8.974278
20101012T0000,15.920529,4.8305287,9.4984455
20101013T0000,14.240529,3.7305286,7.961779
20101014T0000,12.870529,5.040529,8.010112
20101015T0000,12.760529,3.2505286,7.748446
20101016T0000,10.090529,6.2805285,7.9142776
20101017T0000,10.520529,4.4005284,7.311779
20101018T0000,9.990529,3.7505286,6.463028
20101019T0000,11.930529,2.1005285,7.4576125
20101020T0000,8.190529,4.1005287,6.843029
20101021T0000,8.470529,1.9005287,4.7842784
20101022T0000,10.740529,1.8905287,6.6138625
20101023T0000,15.930529,6.9005284,11.470112
20101024T0000,10.660529,6.6805286,8.712196
20101025T0000,9.400529,3.5905285,5.9113617
20101026T0000,8.360529,-0.41947132,3.1984453
20101027T0000,11.900529,2.7005286,7.307196
20101028T0000,13.490529,5.8805285,9.778029
20101029T0000,16.71053,3.6605287,9.633029
20101030T0000,13.370529,6.7005286,9.973028
20101031T0000,15.840529,7.1005287,10.89178
20101101T0000,15.060529,8.630529,11.459697
20101102T0000,12.960529,7.1905284,9.693445
20101103T0000,15.980529,6.5305285,11.374278
20101104T0000,19.14053,10.540529,14.281362
20101105T0000,16.500528,10.100529,13.65678
20101106T0000,15.970529,9.160529,12.8526125
20101107T0000,12.240529,7.5805287,9.460113
20101108T0000,9.200529,4.4905286,6.311362
20101109T0000,11.790529,3.7305286,7.745112
20101110T0000,12.120529,6.3405285,8.7067795
20101111T0000,11.3005295,2.2605286,6.5859456
20101112T0000,16.07053,8.980529,13.560529
20101113T0000,18.740528,13.390529,15.683446
20101114T0000,19.30053,4.8705287,11.583446
20101115T0000,11.030529,6.0905285,9.132611
20101116T0000,6.5905285,4.7205286,5.5721955
20101117T0000,8.160529,3.0605285,5.172612
20101118T0000,9.440529,2.9005284,5.722612
20101119T0000,9.980529,3.6905286,6.864695
20101120T0000,10.710529,2.3705285,6.6759453
20101121T0000,6.4405284,2.1905286,4.275945
20101122T0000,4.7105284,1.8405286,3.2855284
20101123T0000,5.2705283,1.3205286,3.4292784
20101124T0000,5.3405285,1.6705287,3.3330286
20101125T0000,6.9705286,1.2105286,3.716778
20101126T0000,1.2005286,-1.4194714,0.29886198
20101127T0000,0.7105287,-4.1094713,-1.4503049
20101128T0000,2.8605285,-2.7094715,0.17886187
20101129T0000,2.5505285,-6.2294717,-0.06822133
20101130T0000,3.5405285,-9.049471,-2.509055
20101201T0000,0.91052866,-3.1994715,-1.1240548
20101202T0000,0.73052865,-6.2394714,-2.9936378
20101203T0000,0.61052865,-5.5894713,-2.804888
20101204T0000,1.1005287,-3.9994717,-1.9215547
20101205T0000,3.9005284,-2.6994715,0.5680286
20101206T0000,3.5905285,1.7405287,2.6363618
20101207T0000,10.270529,3.5305285,7.5926113
20101208T0000,14.460529,4.3605285,9.698862
20101209T0000,2.2305286,-1.3294713,0.76886195
20101210T0000,3.5705285,-1.1094713,1.2030286
20101211T0000,5.5605288,1.4805287,3.2138617
20101212T0000,4.5705285,0.5705287,2.5459454
20101213T0000,0.40052867,-4.2994714,-1.507388
20101214T0000,-0.6194713,-4.9394712,-2.8578043
20101215T0000,-0.87947136,-4.6594715,-2.790305
20101216T0000,0.24052864,-3.7594714,-1.6832213
20101217T0000,1.6005287,-4.9194713,-0.916138
20101218T0000,1.8005286,-5.9294715,-2.1578052
20101219T0000,5.8305287,-0.65947133,3.0917785
20101220T0000,8.600529,4.8505287,6.756361
20101221T0000,7.1605287,0.59052867,4.750529
20101222T0000,9.930529,3.8805285,6.250529
20101223T0000,8.790529,3.2405286,5.792196
20101224T0000,4.540529,-2.6894715,0.76344514
20101225T0000,-1.7894714,-5.5494714,-3.259055
20101226T0000,-3.9994717,-10.1994705,-7.2019715
20101227T0000,-0.14947134,-8.489471,-4.919888
20101228T0000,2.2705286,-2.9494715,0.13719527
20101229T0000,3.9505286,1.2205287,2.875945
20101230T0000,3.4605286,-0.93947136,1.440112
20101231T0000,3.2005286,-2.1294715,-0.20280473
20110101T0000,3.1805286,-1.3594713,0.1721953
20110102T0000,3.5005286,-4.0494714,-0.35738802
20110103T0000,2.1305285,-4.8094716,-1.8719712
20110104T0000,1.0505286,-3.4794714,-1.3644713
20110105T0000,5.5005283,-4.3094716,-0.22363798
20110106T0000,11.110529,-0.93947136,7.0501122
20110107T0000,13.620529,7.8105288,11.035113
20110108T0000,15.120529,6.7005286,11.289696
20110109T0000,10.500529,2.5105286,7.6755295
20110110T0000,5.290529,1.5005287,3.322195
20110111T0000,8.140529,1.0505286,3.9230287
20110112T0000,9.380529,4.5505285,6.2963614
20110113T0000,13.500529,9.390529,11.3230295
20110114T0000,12.400529,6.6005287,9.763862
20110115T0000,11.120529,6.9205284,8.892196
20110116T0000,10.670529,4.8605285,7.0480294
20110117T0000,9.670529,3.6905286,6.6055284
20110118T0000,11.070529,4.2805285,7.1976123
20110119T0000,6.0205283,0.21052867,3.360945
20110120T0000,3.0705285,-1.3594713,0.7684453
20110121T0000,2.8505285,-2.8794715,-0.30738807
20110122T0000,2.0205286,-6.1994715,-1.9469718
20110123T0000,1.2705287,-7.0594716,-3.3265545
20110124T0000,2.8305285,-3.8094714,-0.751138
20110125T0000,4.1105285,-1.3094714,1.3226119
20110126T0000,6.540529,0.62052864,3.3780286
20110127T0000,5.790529,-1.7994714,1.1596955
20110128T0000,5.5505285,-1.4694713,0.9213619
20110129T0000,4.2405286,-3.9094715,-0.44447157
20110130T0000,2.6005285,-5.7994714,-2.2419717
20110131T0000,2.3805285,-6.3794713,-2.018638
20110201T0000,1.5805286,-5.3994713,-1.8428046
20110202T0000,1.9005287,-5.3394713,-1.4444718
20110203T0000,5.4305286,-2.2994714,1.4426118
20110204T0000,10.130529,1.6605287,5.913446
20110205T0000,11.420529,4.5705285,7.465529
20110206T0000,10.660529,2.5005286,6.522196
20110207T0000,12.260529,4.4305286,8.138446
20110208T0000,11.220529,2.6205285,6.8438625
20110209T0000,10.660529,-0.019471344,5.2384453
20110210T0000,11.010529,2.4905286,6.9146957
20110211T0000,13.760529,6.0505285,9.308864
20110212T0000,12.390529,5.1105285,8.623863
20110213T0000,10.840529,4.7505283,7.283029
20110214T0000,13.370529,2.4505286,7.7809453
20110215T0000,8.970529,4.2105284,6.604279
20110216T0000,10.600529,3.3605285,6.9438624
20110217T0000,9.430529,2.4705286,5.360945
20110218T0000,7.7605286,-0.37947133,3.8842783
20110219T0000,9.310529,0.18052867,4.671778
20110220T0000,4.6905284,2.4105287,3.6663618
20110221T0000,6.0305285,0.87052864,3.6880286
20110222T0000,5.5105286,-1.3994713,2.3096952
20110223T0000,6.2605286,-3.3394713,1.136362
20110224T0000,6.4105287,-0.039471343,3.2417784
20110225T0000,8.690529,4.8105288,6.1926117
20110226T0000,11.010529,1.5905286,5.757612
20110227T0000,8.110529,3.0505285,5.842194
20110228T0000,9.990529,1.0805286,5.2821956
20110301T0000,11.540529,0.86052865,4.699695
20110302T0000,9.170529,-0.14947134,3.401779
20110303T0000,9.240529,-2.3594716,2.8021953
20110304T0000,8.960529,-1.2494713,3.1846952
20110305T0000,9.810529,0.17052865,4.3517795
20110306T0000,10.200529,-0.89947134,3.2942784
20110307T0000,9.040529,-1.2794713,3.231779
20110308T0000,12.870529,-2.1594715,5.7563615
20110309T0000,13.600529,0.39052868,7.2438617
20110310T0000,10.770529,4.3305287,7.9371967
20110311T0000,12.740529,6.4105287,9.433861
20110312T0000,16.98053,1.3905287,9.76678
20110313T0000,13.520529,8.090529,10.962613
20110314T0000,17.240528,8.400529,12.310945
20110315T0000,18.23053,2.4105287,10.61803
20110316T0000,18.110529,3.8005285,11.193862
20110317T0000,12.530529,9.020529,11.251779
20110318T0000,10.870529,7.1605287,8.774695
20110319T0000,9.230529,3.8605285,7.788446
20110320T0000,12.390529,-0.48947132,5.7630286
20110321T0000,13.220529,-0.11947135,6.0334454
20110322T0000,14.790529,-0.47947133,6.930946
20110323T0000,17.82053,1.7105286,9.640529
20110324T0000,18.64053,1.9805287,10.982196
20110325T0000,19.750528,4.0705285,12.338029
20110326T0000,17.96053,2.6305285,11.522613
20110327T0000,15.560529,9.770529,12.488862
20110328T0000,14.710529,10.610529,12.263863
20110329T0000,17.580528,9.160529,13.203446
20110330T0000,14.700529,8.900529,11.951779
20110331T0000,17.590528,9.020529,12.595946
20110401T0000,18.920528,11.740529,15.137614
20110402T0000,24.240528,8.450529,16.48053
20110403T0000,23.360529,6.6105285,16.37886
20110404T0000,15.610529,9.000529,11.693863
20110405T0000,18.350529,9.510529,13.773862
20110406T0000,21.670528,11.940529,16.83053
20110407T0000,25.100529,8.0505295,17.170115
20110408T0000,20.96053,10.190529,15.505113
20110409T0000,22.670528,6.5705285,14.783446
20110410T0000,22.71053,5.7105284,14.621778
20110411T0000,22.57053,4.8905287,14.726779
20110412T0000,14.040529,5.1905284,10.614279
20110413T0000,12.730529,2.2905285,8.283029
20110414T0000,14.110529,3.7105286,9.800113
20110415T0000,15.290529,1.8105286,10.026362
20110416T0000,16.510529,1.2305287,10.147612
20110417T0000,18.22053,2.6105285,11.646781
20110418T0000,20.670528,2.7705286,13.222611
20110419T0000,21.850529,4.7405286,14.671777
20110420T0000,22.65053,5.4905286,15.625529
20110421T0000,23.12053,5.7605286,15.626779
20110422T0000,23.280529,3.6305285,15.042195
20110423T0000,23.940529,4.8405285,16.39553
20110424T0000,19.100529,13.040529,16.675528
20110425T0000,23.07053,11.720529,17.669695
20110426T0000,19.190529,6.2805285,14.121779
20110427T0000,16.350529,7.2405286,12.919277
20110428T0000,18.110529,10.840529,14.356781
20110429T0000,16.73053,8.650529,14.037612
20110430T0000,19.63053,7.1905284,14.244279
20110501T0000,19.910528,6.2605286,14.069695
20110502T0000,20.80053,6.3405285,14.527196
20110503T0000,16.410528,10.620529,13.388863
20110504T0000,14.930529,2.4705286,9.421363
20110505T0000,18.330528,2.6005285,11.6184435
20110506T0000,22.500528,5.9505286,15.371779
20110507T0000,24.690529,12.410529,18.40053
20110508T0000,25.000528,11.710529,19.378447
20110509T0000,24.270529,11.280529,18.48428
20110510T0000,23.260529,13.090529,18.875532
20110511T0000,24.14053,15.850529,19.618446
20110512T0000,19.510529,13.400529,17.027615
20110513T0000,20.440529,9.640529,15.72553
20110514T0000,19.270529,10.460529,14.706364
20110515T0000,12.440529,7.5005283,10.483446
20110516T0000,16.160528,7.1205287,12.3213625
20110517T0000,19.80053,9.8005295,15.432197
20110518T0000,23.23053,12.020529,18.070114
20110519T0000,22.990528,13.270529,18.521778
20110520T0000,23.190529,14.910529,19.050114
20110521T0000,23.670528,14.430529,19.518446
20110522T0000,22.350529,15.960529,18.930529
20110523T0000,22.80053,13.010529,17.75428
20110524T0000,23.170528,12.990529,18.789696
20110525T0000,23.770529,9.820529,16.797197
20110526T0000,25.250528,12.450529,19.469276
20110527T0000,15.590529,10.450529,13.337195
20110528T0000,18.760529,8.460529,13.808028
20110529T0000,23.04053,11.100529,17.50678
20110530T0000,26.32053,14.500529,20.34386
20110531T0000,20.500528,9.380529,15.549698
20110601T0000,13.900529,8.890529,10.908029
20110602T0000,22.840528,7.6705284,15.95511
20110603T0000,25.010529,9.140529,19.110945
20110604T0000,24.20053,14.860529,19.932611
20110605T0000,24.81053,14.340529,19.759693
20110606T0000,20.45053,14.290529,17.550528
20110607T0000,24.04053,12.980529,18.443865
20110608T0000,15.990529,12.860529,14.643444
20110609T0000,17.71053,11.010529,14.589695
20110610T0000,20.30053,11.140529,15.503029
20110611T0000,17.47053,11.8005295,14.764278
20110612T0000,20.910528,11.0505295,16.405947
20110613T0000,18.72053,14.220529,16.476362
20110614T0000,21.530529,13.980529,18.116362
20110615T0000,22.410528,14.770529,18.765528
20110616T0000,22.410528,14.850529,18.083447
20110617T0000,24.73053,12.160529,18.672194
20110618T0000,17.70053,10.930529,15.614282
20110619T0000,17.080528,10.5505295,13.621778
20110620T0000,21.21053,8.010529,16.256363
20110621T0000,27.06053,15.530529,21.788027
20110622T0000,26.55053,16.23053,20.13928
20110623T0000,20.54053,13.900529,16.94678
20110624T0000,18.39053,10.900529,15.166363
20110625T0000,22.440529,10.790529,17.495531
20110626T0000,27.31053,16.170528,21.94178
20110627T0000,30.860529,16.71053,24.519281
20110628T0000,31.15053,19.250528,26.017616
20110629T0000,24.740528,16.000528,21.891779
20110630T0000,19.940529,13.020529,16.780111
20110701T0000,18.54053,10.940529,14.914695
20110702T0000,18.760529,9.470529,14.194695
20110703T0000,20.990528,9.960529,15.733028
20110704T0000,24.79053,11.530529,18.555113
20110705T0000,26.14053,15.820529,21.43178
20110706T0000,23.440529,16.05053,20.649277
20110707T0000,23.04053,15.090529,18.69386
20110708T0000,22.750528,13.000529,18.257193
20110709T0000,25.670528,16.430529,21.310946
20110710T0000,22.250528,17.420528,19.35511
20110711T0000,25.030529,15.030529,19.968029
20110712T0000,31.45053,15.5505295,23.954279
20110713T0000,22.82053,15.280529,18.44386
20110714T0000,18.81053,11.580529,15.415946
20110715T0000,20.780529,10.620529,16.48636
