time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2021-03-22T15:46:43.996Z,52.93513753,-1.20193633,127.0,16.08,152.3,3.36,0,gps,,,,,,,,85,
2021-03-22T15:47:02.009Z,52.93554877,-1.20225001,82.0,11.792,343.2,1.54,0,gps,0.9,1.1,1.5,47.0,,,,84,
2021-03-22T15:47:27.000Z,52.9360161,-1.20217371,89.0,25.728,298.7,2.44,14,gps,0.8,0.7,1.1,47.0,,,,84,
2021-03-22T15:47:41.000Z,52.93612266,-1.20270051,108.0,36.448,341.7,1.75,0,gps,0.7,0.7,1.0,47.0,,,,84,
2021-03-22T15:48:03.000Z,52.93626506,-1.20342575,108.0,27.872002,286.1,1.43,0,gps,1.2,0.8,1.5,47.0,,,,83,
2021-03-22T15:48:19.000Z,52.9364844,-1.20348411,97.0,27.872002,324.6,2.21,0,gps,0.9,0.8,1.2,47.0,,,,83,
2021-03-22T15:48:37.000Z,52.93635573,-1.20396939,84.0,8.576,327.5,1.28,0,gps,0.9,0.8,1.2,47.0,,,,83,
2021-03-22T15:48:58.000Z,52.93662861,-1.20411727,76.0,16.08,,0.0,0,gps,0.6,0.6,0.9,47.0,,,,82,
2021-03-22T15:49:19.000Z,52.93660737,-1.20424178,81.0,21.44,,0.0,0,gps,0.8,0.8,1.2,47.0,,,,82,
2021-03-22T15:49:33.000Z,52.93667811,-1.20447063,79.0,20.368,313.6,2.18,0,gps,0.8,0.7,1.1,47.0,,,,82,
2021-03-22T15:49:56.000Z,52.93720234,-1.20486612,70.0,16.08,353.6,3.17,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:50:09.000Z,52.93780338,-1.20519055,73.0,16.08,327.1,6.33,0,gps,0.8,0.8,1.1,47.0,,,,82,
2021-03-22T15:50:24.000Z,52.93776321,-1.20481229,64.0,17.152,139.7,3.59,0,gps,1.0,0.8,1.3,47.0,,,,82,
2021-03-22T15:50:45.000Z,52.93794396,-1.20489812,74.0,17.152,13.8,1.11,0,gps,0.8,0.7,1.1,47.0,,,,82,
2021-03-22T15:51:06.000Z,52.93801689,-1.20460056,73.0,15.008,340.7,1.73,0,gps,0.7,0.7,1.1,47.0,,,,82,
2021-03-22T15:51:27.000Z,52.93857434,-1.20428452,73.0,10.72,357.6,0.83,0,gps,0.7,0.7,1.1,47.0,,,,82,
2021-03-22T15:51:47.000Z,52.93870511,-1.20470286,81.0,13.936001,307.2,1.04,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:52:00.000Z,52.93883373,-1.20442535,82.0,13.936001,56.7,0.99,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:52:05.582Z,52.9390879,-1.204077,85.9000015258789,28.991,,,0,network,,,,,,,,82,
2021-03-22T15:52:30.000Z,52.93919185,-1.20478623,80.0,13.936001,332.4,1.04,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:52:49.000Z,52.93959255,-1.20487689,74.0,9.648001,,0.0,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:53:10.000Z,52.93962788,-1.20492435,85.0,13.936001,,0.0,0,gps,0.6,0.6,0.9,47.0,,,,82,
2021-03-22T15:53:22.000Z,52.93982384,-1.20525382,81.0,9.648001,358.2,1.15,0,gps,0.6,0.6,0.9,47.0,,,,82,
2021-03-22T15:53:34.000Z,52.93999212,-1.20547218,78.0,6.432,330.0,1.69,0,gps,0.9,0.8,1.2,47.0,,,,82,
2021-03-22T15:53:48.000Z,52.9401769,-1.20568545,85.0,9.648001,237.1,1.3,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:54:02.000Z,52.94045024,-1.20576601,75.0,9.648001,3.5,2.15,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:54:22.000Z,52.94070992,-1.20604472,80.0,15.008,325.3,1.15,0,gps,0.7,0.7,1.0,47.0,,,,82,
2021-03-22T15:54:44.000Z,52.94099,-1.20639955,77.0,20.368,293.1,5.66,0,gps,0.8,0.8,1.1,47.0,,,,82,
2021-03-22T15:55:04.000Z,52.9409567,-1.20575916,86.0,19.296001,96.6,3.07,0,gps,0.8,0.8,1.1,47.0,,,,82,
2021-03-22T15:55:26.000Z,52.94138606,-1.20560604,93.0,12.864,17.8,2.02,0,gps,1.3,1.0,1.6,47.0,,,,82,
2021-03-22T15:55:40.000Z,52.94159088,-1.20558347,81.0,15.008,0.1,1.43,0,gps,0.9,0.8,1.2,47.0,,,,82,
2021-03-22T15:55:53.000Z,52.94161609,-1.20554101,87.0,21.44,,0.0,0,gps,0.8,0.8,1.1,47.0,,,,82,
2021-03-22T15:56:14.000Z,52.94159085,-1.20466576,91.0,11.792,94.2,1.14,0,gps,1.3,0.8,1.5,47.0,,,,82,
2021-03-22T15:56:35.000Z,52.941669,-1.20431515,88.0,15.008,353.3,1.68,0,gps,0.8,0.8,1.1,47.0,,,,81,
2021-03-22T15:56:55.000Z,52.94173899,-1.20391314,82.0,9.648001,8.6,2.38,0,gps,1.1,0.8,1.4,47.0,,,,81,
2021-03-22T15:57:16.000Z,52.94183701,-1.20354253,84.0,16.08,23.7,0.71,0,gps,0.8,0.7,1.1,47.0,,,,81,
2021-03-22T15:57:28.000Z,52.94188218,-1.2034211,85.0,16.08,120.2,0.57,0,gps,0.8,,,47.0,,,,80,
2021-03-22T15:57:41.000Z,52.94204102,-1.20308293,90.0,13.936001,24.9,2.81,0,gps,1.1,0.8,1.4,47.0,,,,80,
2021-03-22T15:57:53.000Z,52.94220297,-1.20281573,90.0,18.224,60.7,2.0,0,gps,0.9,0.8,1.2,47.0,,,,80,
2021-03-22T15:58:05.000Z,52.9422599,-1.20252027,89.0,17.152,112.0,0.94,0,gps,1.1,0.8,1.4,47.0,,,,80,
2021-03-22T15:58:17.000Z,52.94240093,-1.20237656,92.0,17.152,66.7,1.98,0,gps,1.0,0.8,1.3,47.0,,,,80,
2021-03-22T15:58:22.683Z,52.9420032,-1.2018395,92.4000015258789,39.6,,,0,network,,,,,,,,80,
2021-03-22T15:58:46.000Z,52.94241252,-1.20154109,88.0,13.936001,42.5,2.61,0,gps,1.1,0.8,1.4,47.0,,,,80,
2021-03-22T15:58:58.095Z,52.9419153,-1.2006017,91.4000015258789,28.427,,,0,network,,,,,,,,80,
2021-03-22T15:59:09.198Z,52.9418981,-1.2005244,91.4000015258789,20.0,,,0,network,,,,,,,,80,
2021-03-22T15:59:20.454Z,52.9418987,-1.2005268,91.4000015258789,20.9,,,0,network,,,,,,,,80,
2021-03-22T15:59:45.000Z,52.94227654,-1.20043311,96.0,12.864,72.6,1.19,0,gps,0.8,0.7,1.1,47.0,,,,80,
2021-03-22T16:00:06.000Z,52.9423509,-1.2000921,97.0,25.728,302.0,1.42,0,gps,1.0,0.8,1.3,47.0,,,,80,
2021-03-22T16:00:27.000Z,52.94239251,-1.19958316,99.0,13.936001,75.1,1.31,0,gps,1.0,0.8,1.3,47.0,,,,80,
2021-03-22T16:00:39.686Z,52.9422978,-1.1989491,98.5,21.752,,,0,network,,,,,,,,80,
2021-03-22T16:00:50.965Z,52.9423255,-1.1988515,99.30000305175781,24.439,,,0,network,,,,,,,,80,
2021-03-22T16:01:02.050Z,52.9425656,-1.1984921,102.20000457763672,28.046,,,0,network,,,,,,,,80,
2021-03-22T16:01:22.000Z,52.94257333,-1.19822098,99.0,16.08,62.8,1.16,0,gps,0.9,0.8,1.2,47.0,,,,80,
2021-03-22T16:01:34.413Z,52.9428574,-1.1978691,106.5,26.437,,,0,network,,,,,,,,80,
2021-03-22T16:01:55.000Z,52.94249359,-1.19788264,106.0,18.224,162.7,1.06,0,gps,0.7,0.7,1.0,47.0,,,,80,
2021-03-22T16:02:00.528Z,52.9429782,-1.1980086,106.5,20.09,,,0,network,,,,,,,,80,
2021-03-22T16:02:24.000Z,52.94276453,-1.19736741,109.0,18.224,51.8,0.63,0,gps,0.7,0.7,1.0,47.0,,,,80,
2021-03-22T16:02:36.000Z,52.94274046,-1.19707796,111.0,15.008,84.8,2.09,0,gps,0.7,0.7,1.0,47.0,,,,80,
2021-03-22T16:02:49.000Z,52.94287979,-1.1968075,116.0,13.936001,47.4,1.47,0,gps,0.9,0.8,1.2,47.0,,,,80,
2021-03-22T16:03:01.000Z,52.94297442,-1.19640226,108.0,16.08,94.1,3.86,0,gps,0.7,0.7,1.0,47.0,,,,80,
2021-03-22T16:03:13.000Z,52.94306423,-1.19638891,99.0,11.792,74.1,1.9,0,gps,0.9,0.7,1.1,47.0,,,,79,
2021-03-22T16:03:26.000Z,52.94306043,-1.1961396,108.0,12.864,32.1,2.01,0,gps,0.7,0.7,1.0,47.0,,,,79,
2021-03-22T16:03:39.000Z,52.94304316,-1.19567874,110.0,13.936001,89.1,3.89,0,gps,0.8,0.8,1.1,47.0,,,,79,
2021-03-22T16:04:00.000Z,52.94308144,-1.19537936,120.0,16.08,75.1,0.83,0,gps,0.7,0.7,1.0,47.0,,,,79,
2021-03-22T16:04:13.000Z,52.94300271,-1.19511182,111.0,20.368,128.7,1.95,0,gps,1.0,0.8,1.2,47.0,,,,79,
2021-03-22T16:04:26.000Z,52.94299698,-1.19481824,111.0,15.008,131.3,2.83,0,gps,1.1,0.8,1.4,47.0,,,,79,
2021-03-22T16:04:39.000Z,52.94297785,-1.19422422,112.0,10.72,147.7,1.95,0,gps,0.9,0.8,1.2,47.0,,,,79,
2021-03-22T16:04:52.000Z,52.94279253,-1.19404898,107.0,17.152,152.2,1.64,0,gps,0.9,0.8,1.2,47.0,,,,79,
2021-03-22T16:05:05.000Z,52.94306746,-1.19389647,105.0,15.008,83.3,1.94,0,gps,0.9,0.8,1.2,47.0,,,,79,
2021-03-22T16:05:20.000Z,52.94291913,-1.19386386,102.0,13.936001,89.7,2.32,0,gps,1.0,0.8,1.3,47.0,,,,79,
2021-03-22T16:05:41.000Z,52.94291299,-1.19316394,97.0,17.152,,0.0,0,gps,0.8,0.7,1.1,47.0,,,,79,
2021-03-22T16:06:02.000Z,52.94282302,-1.19287248,99.0,18.224,117.9,2.4,0,gps,0.8,0.7,1.1,47.0,,,,79,
2021-03-22T16:06:22.000Z,52.94264721,-1.19258937,96.0,9.648001,210.2,1.72,0,gps,0.8,0.7,1.1,47.0,,,,79,
2021-03-22T16:06:43.000Z,52.94228901,-1.19248119,96.0,19.296001,86.1,2.2,0,gps,1.0,0.8,1.3,47.0,,,,79,
2021-03-22T16:07:03.000Z,52.94214524,-1.19263948,82.0,12.864,231.4,3.7,0,gps,1.3,0.9,1.5,47.0,,,,79,
2021-03-22T16:07:21.000Z,52.94190712,-1.19277743,81.0,9.648001,185.1,0.97,0,gps,0.8,0.7,1.0,47.0,,,,79,
2021-03-22T16:07:33.000Z,52.94182744,-1.19283114,86.0,12.864,161.1,2.2,0,gps,0.7,0.7,1.0,47.0,,,,79,
2021-03-22T16:07:54.000Z,52.94145048,-1.19267103,107.0,10.72,160.9,2.18,0,gps,0.7,0.7,1.0,47.0,,,,79,
2021-03-22T16:08:14.000Z,52.94121615,-1.19229998,106.0,18.224,343.4,1.6,0,gps,0.8,0.8,1.1,47.0,,,,79,
2021-03-22T16:08:34.000Z,52.94106447,-1.19230064,75.0,16.08,163.4,1.93,0,gps,1.5,0.8,1.7,47.0,,,,79,
2021-03-22T16:08:46.000Z,52.94102898,-1.19222106,86.0,16.08,199.3,0.89,0,gps,1.1,0.8,1.4,47.0,,,,79,
2021-03-22T16:08:58.000Z,52.94081594,-1.19238365,79.0,10.72,164.5,2.55,0,gps,1.3,0.9,1.5,47.0,,,,79,
2021-03-22T16:09:18.000Z,52.94052976,-1.19255352,94.0,13.936001,31.5,0.31,0,gps,0.9,0.8,1.2,47.0,,,,79,
2021-03-22T16:09:31.000Z,52.94039389,-1.19295437,93.0,6.432,,0.0,0,gps,0.9,0.8,1.2,47.0,,,,79,
2021-03-22T16:09:51.000Z,52.94036573,-1.19297157,98.0,13.936001,,0.0,0,gps,0.8,0.7,1.1,47.0,,,,79,
2021-03-22T16:10:12.000Z,52.94031076,-1.19299083,96.0,16.08,208.9,1.54,0,gps,1.1,0.8,1.4,47.0,,,,78,
2021-03-22T16:10:25.000Z,52.94005467,-1.19313972,77.0,15.008,213.1,3.21,0,gps,0.7,0.7,1.0,47.0,,,,78,
2021-03-22T16:10:46.000Z,52.93962281,-1.19360083,79.0,21.44,220.4,2.62,0,gps,0.9,0.8,1.2,47.0,,,,78,
2021-03-22T16:10:59.000Z,52.93953808,-1.19393285,96.0,10.72,220.1,3.35,0,gps,0.9,0.8,1.2,47.0,,,,78,
2021-03-22T16:11:19.000Z,52.93923178,-1.19419461,99.0,15.008,203.8,1.28,0,gps,1.1,0.8,1.4,47.0,,,,78,
2021-03-22T16:11:31.000Z,52.93917339,-1.19416878,100.0,13.936001,143.8,1.44,0,gps,1.2,0.8,1.5,47.0,,,,78,
2021-03-22T16:11:45.000Z,52.93921295,-1.19447619,108.0,15.008,257.1,1.81,0,gps,0.9,0.7,1.2,47.0,,,,78,
2021-03-22T16:11:57.109Z,52.9386401,-1.1949281,101.80000305175781,39.6,,,0,network,,,,,,,,78,
