time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2021-03-20T13:57:04.427Z,52.93909008,-1.19689227,107.0,31.088001,183.5,0.57,0,gps,,,,,,,,48,
2021-03-20T13:57:19.406Z,52.93869974,-1.19645689,109.0,26.800001,150.8,1.14,0,gps,2.6,0.9,2.8,47.0,,,,48,
2021-03-20T13:57:32.395Z,52.9389156,-1.1967986,108.0,29.101,,,0,network,,,,,,,,48,
2021-03-20T13:57:55.459Z,52.93863764,-1.19625031,109.0,30.016,131.6,1.44,0,gps,1.9,0.7,2.1,47.0,,,,48,
2021-03-20T13:58:14.471Z,52.93855382,-1.19623341,84.0,23.584,99.8,0.82,0,gps,1.9,0.8,2.1,47.0,,,,48,
2021-03-20T13:58:29.424Z,52.93857685,-1.19553981,84.0,11.792,342.8,0.5,0,gps,1.9,0.8,2.1,47.0,,,,48,
2021-03-20T13:58:51.443Z,52.93871406,-1.19518873,103.0,16.08,84.6,0.75,0,gps,0.9,0.7,1.1,47.0,,,,48,
2021-03-20T13:59:03.339Z,52.9386392,-1.1949198,101.80000305175781,24.9,,,0,network,,,,,,,,48,
2021-03-20T13:59:15.775Z,52.9386389,-1.1949169,101.80000305175781,20.9,,,0,network,,,,,,,,48,
2021-03-20T13:59:27.073Z,52.9386006,-1.1948626,101.80000305175781,28.882,,,0,network,,,,,,,,48,
2021-03-20T13:59:38.392Z,52.9385215,-1.1947335,100.9000015258789,32.004,,,0,network,,,,,,,,48,
2021-03-20T14:00:03.000Z,52.93829783,-1.19412355,95.0,10.72,46.4,0.94,0,gps,0.9,0.7,1.1,47.0,,,,48,
2021-03-20T14:00:23.000Z,52.93907898,-1.19372534,107.0,21.44,28.7,4.65,0,gps,1.0,0.8,1.3,47.0,,,,47,
2021-03-20T14:00:37.000Z,52.9386872,-1.19368761,94.0,26.800001,164.0,0.9,0,gps,1.0,0.8,1.3,47.0,,,,47,
2021-03-20T14:00:59.000Z,52.93851054,-1.19341299,88.0,10.72,83.5,1.75,0,gps,1.8,0.8,1.9,47.0,,,,47,
2021-03-20T14:01:20.000Z,52.93860704,-1.19291418,90.0,22.512001,76.7,1.04,0,gps,0.7,0.7,1.0,47.0,,,,47,
2021-03-20T14:01:33.000Z,52.93846088,-1.19230638,94.0,16.08,104.4,4.1,0,gps,1.1,0.7,1.3,47.0,,,,47,
2021-03-20T14:01:46.000Z,52.93866631,-1.1921044,85.0,12.864,30.3,0.5,0,gps,1.3,0.8,1.5,47.0,,,,47,
2021-03-20T14:02:07.000Z,52.93876695,-1.1918962,80.0,12.864,89.3,1.69,0,gps,1.3,0.9,1.6,47.0,,,,47,
2021-03-20T14:02:28.000Z,52.93910282,-1.19147844,83.0,24.656,311.3,1.57,0,gps,1.2,0.8,1.4,47.0,,,,47,
2021-03-20T14:02:50.000Z,52.93909354,-1.19120903,84.0,24.656,44.5,0.9,0,gps,1.3,0.8,1.5,47.0,,,,47,
2021-03-20T14:03:03.000Z,52.93901144,-1.19089317,91.0,12.864,120.1,1.47,0,gps,0.8,0.7,1.1,47.0,,,,47,
2021-03-20T14:03:24.000Z,52.93889815,-1.19060777,97.0,21.44,304.4,1.2,0,gps,0.8,0.7,1.0,47.0,,,,47,
2021-03-20T14:03:45.000Z,52.93876268,-1.19086843,96.0,20.368,47.4,0.73,0,gps,0.8,0.7,1.0,47.0,,,,47,
2021-03-20T14:04:05.000Z,52.93839911,-1.19034367,83.0,11.792,224.5,1.11,0,gps,0.7,0.7,0.9,47.0,,,,47,
